municipio,ponto_rio,ponto_grupo,iqa,papel,criterio,estacao_codigo,estacao_nome,estacao_rio,estacao_lat,estacao_lon,distancia_km
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,fluviometrica,mesmo municipio,62365160,SB-CA-BAC Barragem Águas Claras,RESERVATÓRIO ÁGUAS CLARAS,-23.3981,-46.6583,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),RIO CAPIVARI,-23.9225,-46.7289,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62222700,RESERVATÓRIO BILLINGS (São Paulo),RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.7492,-46.6478,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62223100,BRAÇO DO TAQUACETUBA (São Paulo),RIO TIETÊ,-23.8447,-46.6556,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62224100,RIBEIRÃO DOS MENINOS (pte. Av. dos Estados),RIO DOS MENINOS,-23.6,-46.5792,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62224250,PONTE AV. FRANCISCO MESQUITA 1000,RIO TAMANDUATEÍ,-23.5947,-46.5822,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62237000,PONTE PRAÇA DO MONUMENTO (Dom Pedro),CÓRREGO DO IPIRANGA,-23.5781,-46.6089,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290010,RES. GUARAPIRANGA (praia ass. func. pub.) ,RIO GUARAPIRANGA,-23.7455555555556,-46.7691666666667,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290020,RES. GUARAPIRANGA (bairro baln. São José),RIO GUARAPIRANGA,-23.7541666666667,-46.7269444444444,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290030,RES. GUARAPIRANGA (praia do club de campo),RIO GUARAPIRANGA,-23.7302777777778,-46.7211111111111,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290040,RES. GUARAPIRANGA (praia Miami Paulista),RIO GUARAPIRANGA,-23.7155555555556,-46.7519444444444,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290050,RES. GUARAPIRANGA (Marina Guaraci),RIO GUARAPIRANGA,-23.7108333333333,-46.755,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290060,RES. GUARAPIRANGA (prainha Jardim da Represa),RIO GUARAPIRANGA,-23.7183333333333,-46.7191666666667,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290070,RES. GUARAPIRANGA (Club de Campo Castelo),RIO GUARAPIRANGA,-23.7147222222222,-46.7161111111111,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290080,RES. GUARAPIRANGA (Riviera Náutica),RIO GUARAPIRANGA,-23.6991666666667,-46.7452777777778,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290090,RES. GUARAPIRANGA (Restaurante Interlagos),RIO GUARAPIRANGA,-23.7022222222222,-46.7147222222222,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290100,RES. GUARAPIRANGA (Marina Guarapiranga),RIO GUARAPIRANGA,-23.6961111111111,-46.7172222222222,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290110,RES. GUARAPIRANGA (Marina Jardim 3 Marias),RIO GUARAPIRANGA,-23.6838888888889,-46.7169444444444,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290130,RES. GUARAPIRANGA (2 km da Barragem),RIO GUARAPIRANGA,-23.6894444444444,-46.7263888888889,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62290140,RES. GUARAPIRANGA (barr. capt. da SABESP),RIO GUARAPIRANGA,-23.6794444444444,-46.7183333333333,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),RIO EMBU MIRIM,-23.72,-46.7847,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62298800,PONTE NA ENTRADA DA USP,RIO PIRAJUSSARA,-23.5642,-46.7136,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62121900,CÓRREGO DO MORRO DO S,CÓRREGO DA CACHOEIRA,-23.3939,-46.7411,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62152000,RIBEIRÃO ITAQUERA,RIO ITAQUERA,-23.4806,-46.4403,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62155050,RIO CABUÇU (São Paulo),RIO CABUÇU,-23.4736,-46.5614,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62167500,ALDEIA INDÍGENA JARAGUÁ,RIBEIRÃO VERMELHO OU MUTINGA,-23.4639,-46.7542,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62168000,PONTE AV. POLITÉCNICA,CÓRREGO DO JAGUARÉ,-23.5675,-46.7569,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62168800,PONTE ENTRADA ESTAÇÃO CPTM,CÓRREGO ZAVUVUS,-23.6764,-46.7011,
Sao Paulo,Corrego do Sapateiro,Insper 1,Regular,qualidade_agua,mesmo municipio,62177100,RIO ARICANDUVA ( pte. Ely Lopes Meireles),RIO ARICANDUVA,-23.5244,-46.5583,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,fluviometrica,mesmo municipio,62365160,SB-CA-BAC Barragem Águas Claras,RESERVATÓRIO ÁGUAS CLARAS,-23.3981,-46.6583,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),RIO CAPIVARI,-23.9225,-46.7289,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62222700,RESERVATÓRIO BILLINGS (São Paulo),RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.7492,-46.6478,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62223100,BRAÇO DO TAQUACETUBA (São Paulo),RIO TIETÊ,-23.8447,-46.6556,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62224100,RIBEIRÃO DOS MENINOS (pte. Av. dos Estados),RIO DOS MENINOS,-23.6,-46.5792,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62224250,PONTE AV. FRANCISCO MESQUITA 1000,RIO TAMANDUATEÍ,-23.5947,-46.5822,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62237000,PONTE PRAÇA DO MONUMENTO (Dom Pedro),CÓRREGO DO IPIRANGA,-23.5781,-46.6089,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290010,RES. GUARAPIRANGA (praia ass. func. pub.) ,RIO GUARAPIRANGA,-23.7455555555556,-46.7691666666667,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290020,RES. GUARAPIRANGA (bairro baln. São José),RIO GUARAPIRANGA,-23.7541666666667,-46.7269444444444,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290030,RES. GUARAPIRANGA (praia do club de campo),RIO GUARAPIRANGA,-23.7302777777778,-46.7211111111111,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290040,RES. GUARAPIRANGA (praia Miami Paulista),RIO GUARAPIRANGA,-23.7155555555556,-46.7519444444444,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290050,RES. GUARAPIRANGA (Marina Guaraci),RIO GUARAPIRANGA,-23.7108333333333,-46.755,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290060,RES. GUARAPIRANGA (prainha Jardim da Represa),RIO GUARAPIRANGA,-23.7183333333333,-46.7191666666667,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290070,RES. GUARAPIRANGA (Club de Campo Castelo),RIO GUARAPIRANGA,-23.7147222222222,-46.7161111111111,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290080,RES. GUARAPIRANGA (Riviera Náutica),RIO GUARAPIRANGA,-23.6991666666667,-46.7452777777778,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290090,RES. GUARAPIRANGA (Restaurante Interlagos),RIO GUARAPIRANGA,-23.7022222222222,-46.7147222222222,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290100,RES. GUARAPIRANGA (Marina Guarapiranga),RIO GUARAPIRANGA,-23.6961111111111,-46.7172222222222,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290110,RES. GUARAPIRANGA (Marina Jardim 3 Marias),RIO GUARAPIRANGA,-23.6838888888889,-46.7169444444444,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290130,RES. GUARAPIRANGA (2 km da Barragem),RIO GUARAPIRANGA,-23.6894444444444,-46.7263888888889,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62290140,RES. GUARAPIRANGA (barr. capt. da SABESP),RIO GUARAPIRANGA,-23.6794444444444,-46.7183333333333,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),RIO EMBU MIRIM,-23.72,-46.7847,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62298800,PONTE NA ENTRADA DA USP,RIO PIRAJUSSARA,-23.5642,-46.7136,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62121900,CÓRREGO DO MORRO DO S,CÓRREGO DA CACHOEIRA,-23.3939,-46.7411,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62152000,RIBEIRÃO ITAQUERA,RIO ITAQUERA,-23.4806,-46.4403,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62155050,RIO CABUÇU (São Paulo),RIO CABUÇU,-23.4736,-46.5614,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62167500,ALDEIA INDÍGENA JARAGUÁ,RIBEIRÃO VERMELHO OU MUTINGA,-23.4639,-46.7542,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62168000,PONTE AV. POLITÉCNICA,CÓRREGO DO JAGUARÉ,-23.5675,-46.7569,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62168800,PONTE ENTRADA ESTAÇÃO CPTM,CÓRREGO ZAVUVUS,-23.6764,-46.7011,
Sao Paulo,Corrego Sao Jose,Missao Ambiental Ipiranga,Ruim,qualidade_agua,mesmo municipio,62177100,RIO ARICANDUVA ( pte. Ely Lopes Meireles),RIO ARICANDUVA,-23.5244,-46.5583,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,fluviometrica,mesmo municipio,62365160,SB-CA-BAC Barragem Águas Claras,RESERVATÓRIO ÁGUAS CLARAS,-23.3981,-46.6583,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),RIO CAPIVARI,-23.9225,-46.7289,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62222700,RESERVATÓRIO BILLINGS (São Paulo),RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.7492,-46.6478,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62223100,BRAÇO DO TAQUACETUBA (São Paulo),RIO TIETÊ,-23.8447,-46.6556,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62224100,RIBEIRÃO DOS MENINOS (pte. Av. dos Estados),RIO DOS MENINOS,-23.6,-46.5792,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62224250,PONTE AV. FRANCISCO MESQUITA 1000,RIO TAMANDUATEÍ,-23.5947,-46.5822,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62237000,PONTE PRAÇA DO MONUMENTO (Dom Pedro),CÓRREGO DO IPIRANGA,-23.5781,-46.6089,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290010,RES. GUARAPIRANGA (praia ass. func. pub.) ,RIO GUARAPIRANGA,-23.7455555555556,-46.7691666666667,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290020,RES. GUARAPIRANGA (bairro baln. São José),RIO GUARAPIRANGA,-23.7541666666667,-46.7269444444444,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290030,RES. GUARAPIRANGA (praia do club de campo),RIO GUARAPIRANGA,-23.7302777777778,-46.7211111111111,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290040,RES. GUARAPIRANGA (praia Miami Paulista),RIO GUARAPIRANGA,-23.7155555555556,-46.7519444444444,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290050,RES. GUARAPIRANGA (Marina Guaraci),RIO GUARAPIRANGA,-23.7108333333333,-46.755,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290060,RES. GUARAPIRANGA (prainha Jardim da Represa),RIO GUARAPIRANGA,-23.7183333333333,-46.7191666666667,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290070,RES. GUARAPIRANGA (Club de Campo Castelo),RIO GUARAPIRANGA,-23.7147222222222,-46.7161111111111,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290080,RES. GUARAPIRANGA (Riviera Náutica),RIO GUARAPIRANGA,-23.6991666666667,-46.7452777777778,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290090,RES. GUARAPIRANGA (Restaurante Interlagos),RIO GUARAPIRANGA,-23.7022222222222,-46.7147222222222,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290100,RES. GUARAPIRANGA (Marina Guarapiranga),RIO GUARAPIRANGA,-23.6961111111111,-46.7172222222222,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290110,RES. GUARAPIRANGA (Marina Jardim 3 Marias),RIO GUARAPIRANGA,-23.6838888888889,-46.7169444444444,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290130,RES. GUARAPIRANGA (2 km da Barragem),RIO GUARAPIRANGA,-23.6894444444444,-46.7263888888889,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62290140,RES. GUARAPIRANGA (barr. capt. da SABESP),RIO GUARAPIRANGA,-23.6794444444444,-46.7183333333333,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),RIO EMBU MIRIM,-23.72,-46.7847,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62298800,PONTE NA ENTRADA DA USP,RIO PIRAJUSSARA,-23.5642,-46.7136,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Riacho Agua Podre,Moradores do Riacho Agua Podre,Ruim,qualidade_agua,mesmo municipio,62121900,CÓRREGO DO MORRO DO S,CÓRREGO DA CACHOEIRA,-23.3939,-46.7411,
